estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
avl,listagem_codigo,100,6,100,100,2.7699978090822697e-05,2.7699978090822695e-07,864,100,0,,,,0,8
hash,insercao,100,7,100,100,0.0005568999331444502,5.5689993314445015e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,7,100,100,0.0002666000509634614,2.666000509634614e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,7,100,0,0.0002218000590801239,2.218000590801239e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,7,10,10,4.179996903985739e-05,4.179996903985739e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,7,100,98,0.00020240002777427435,2.0240002777427434e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,7,100,100,0.0002253999700769782,2.253999700769782e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,7,100,100,4.229997284710407e-05,4.229997284710407e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,7,100,100,0.0008472999325022101,8.4729993250221e-06,10480,100,1074,,,,66,8
avl,busca_existente,100,7,100,100,0.00022689998149871826,2.2689998149871828e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,7,100,0,0.00023100001271814108,2.310000127181411e-06,112,100,618,,,,0,8
avl,remocao,100,7,10,10,4.5900000259280205e-05,4.590000025928021e-06,48,90,65,,,,11,8
avl,vendas,100,7,100,98,0.0006359999533742666,6.359999533742667e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,7,100,100,0.0005570999346673489,5.570999346673488e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,7,100,100,3.470003139227629e-05,3.470003139227629e-07,864,100,0,,,,0,8
hash,insercao,100,8,100,100,0.0004221000708639622,4.221000708639622e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,8,100,100,0.00024580000899732113,2.4580000899732114e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,8,100,0,0.00047640001866966486,4.764000186696648e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,8,10,10,8.840009104460478e-05,8.840009104460479e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,8,100,98,0.0003021999727934599,3.0219997279345988e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,8,100,100,0.0002845000708475709,2.845000708475709e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,8,100,100,6.710004527121782e-05,6.710004527121783e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,8,100,100,0.0010640999535098672,1.0640999535098673e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,8,100,100,0.00023120001424103975,2.3120001424103976e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,8,100,0,0.00023230002261698246,2.3230002261698244e-06,112,100,618,,,,0,8
avl,remocao,100,8,10,10,4.600000102072954e-05,4.600000102072954e-06,48,90,65,,,,11,8
avl,vendas,100,8,100,98,0.00023870007134974003,2.3870007134974003e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,8,100,100,0.0002614000113680959,2.6140001136809588e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,8,100,100,1.8300022929906845e-05,1.8300022929906846e-07,864,100,0,,,,0,8
hash,insercao,100,9,100,100,0.0004276999970898032,4.276999970898032e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,9,100,100,0.00019099994096904993,1.9099994096904994e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,9,100,0,0.0001927000703290105,1.927000703290105e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,9,10,10,4.1199964471161366e-05,4.1199964471161366e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,9,100,98,0.000228599994443357,2.28599994443357e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,9,100,100,0.00025130005087703466,2.5130005087703465e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,9,100,100,5.600007716566324e-05,5.600007716566324e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,9,100,100,0.0023068999871611595,2.3068999871611597e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,9,100,100,0.00030970002990216017,3.0970002990216015e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,9,100,0,0.000291300006210804,2.91300006210804e-06,112,100,618,,,,0,8
avl,remocao,100,9,10,10,5.330005660653114e-05,5.3300056606531145e-06,48,90,65,,,,11,8
avl,vendas,100,9,100,98,0.0002568000927567482,2.568000927567482e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,9,100,100,0.0002703999634832144,2.703999634832144e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,9,100,100,1.8600025214254856e-05,1.8600025214254856e-07,864,100,0,,,,0,8
hash,insercao,100,10,100,100,0.00026979995891451836,2.6979995891451835e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,10,100,100,0.00018489989452064037,1.8489989452064038e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,10,100,0,0.00028689997270703316,2.8689997270703316e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,10,10,10,4.75000124424696e-05,4.750001244246959e-06,200,90,11,0,0.44776119402985076,4,,
